,Site Name,Campaign Name,Contract Number,Title Name,Personnel Name,Contract Date,Close Date,Contract Info,Membership,Points,Club Name,Contract Status,Sales Volume USD,IDP,Closing Cost Charge USD,Closing Cost Paid USD,Applied IDP,IDP Percent,Unlimited Pack,Pack,Funded Interest,Desc TDC,Annuity,Rentsure Inscription,Unlimited Ccost,Finance Charge,Incentive,Comission Volume,IVA,Comission Volume Sin IVA,Mortgage Exchange Rate,SRExchange Rate,Flat Amount,Comision %,Comission Amount,Charger Back,Comisión - Charger Back,Anticipos o Descuentos,Comision Total a Pagar,Comentarios
0,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Liner,Abarca Girón Luis Roberto,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
2,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Liner,Aguilar Hernández Cinthya,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
3,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Liner,Aguilar Hernández Cinthya,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,50.0,0.0,900.0,,900.0,,900.0,
4,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Liner,Aguilar Hernández Cinthya,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
5,SR MX  Park Royal Acapulco,,Charger Back,Liner,Aguilar Hernández Cinthya,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,276.98,-276.98,,-276.98,CHARGER BACK 1 QUIN JUNIO
6,SR MX  Park Royal Acapulco,,Charger Back,Liner,Aguilar Hernández Cinthya,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,180.0,-180.0,,-180.0,CHARGER BACK 1 QUIN JUNIO
8,SR MX Park Royal Acapulco,Socios RHC,9-706627,VLO,Alonso Palma Juan Francisco,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,7.5,0.0,135.0,,135.0,,135.0,
9,SR MX Park Royal Acapulco,Calle 450,9-706665,VLO,Alonso Palma Juan Francisco,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
10,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,VLO,Alonso Palma Juan Francisco,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,20.0,0.0,360.0,,360.0,,360.0,PET. CANC. 22/05/21
11,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,VLO,Alonso Palma Juan Francisco,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,20.0,0.0,360.0,,360.0,,360.0,PET. CANC. 22/05/21
12,SR MX Park Royal Acapulco,Socios RHC,9-706645,VLO,Alonso Palma Juan Francisco,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,15.0,0.0,297.15,,297.15,,297.15,PET. CANC. 22/05/21
13,SR MX Park Royal Acapulco,Socios RHC,9-706632,VLO,Alonso Palma Juan Francisco,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,7.5,0.0,148.725,,148.725,,148.725,PET. CANC. 22/05/21
14,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,VLO,Alonso Palma Juan Francisco,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,15.0,0.0,270.0,,270.0,,270.0,PET. CANC. 22/05/21
15,SR MX Park Royal Acapulco,Socios RHC,9-706830,VLO,Alonso Palma Juan Francisco,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,20.0,0.0,360.0,,360.0,,360.0,PET. CANC. 22/05/21
